AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	StepsPerSecond	Time
7.743083	9.3522	85.0	3.0	81.2	7.5073295	95.0	72.0	7.743083	81.2	2000	681.41583	10860.081	5.962471	-0.31488132	681.424	10860.212	5.745596	-0.04830338	-37.947235	604.96313	5.831575	-8.017413	-2.9255636	0.11689955	0.12537107	7060.7256	3.522942543029785
78.36	16.588863	120.0	52.0	62.7	1.9	65.0	59.0	78.36	62.7	4000	2114.9832	33707.586	14.93266	-3.224219	2114.3997	33698.29	15.109025	-1.0799359	45.818108	730.42163	5.015364	-9.22056	-8.907146	0.30972946	0.2835514	1947.0043	7.38204026222229
65.83871	12.748426	97.0	46.0	51.9	0.9433981	54.0	51.0	65.83871	51.9	6000	3795.1318	60484.98	23.563442	-4.7415032	3794.2947	60471.63	24.09722	-1.7993497	46.074905	734.5141	6.122243	-9.134009	-15.580774	0.54414076	0.51265675	1970.5549	11.215837478637695
52.23077	3.2930505	61.0	46.0	51.1	0.5385165	52.0	50.0	52.23077	51.1	8000	5058.299	80616.74	32.205917	-5.1870904	5057.6333	80606.13	32.062134	-3.85325	107.472176	1712.9225	8.063859	-10.000647	-20.637579	0.68234485	0.6370018	1690.4757	15.826334714889526
87.47619	48.765347	200.0	53.0	200.0	0.0	200.0	200.0	87.47619	200.0	10000	5861.734	93421.55	40.834682	-9.0100765	5861.1343	93411.98	40.496994	-5.5829105	100.095665	1595.3584	9.32502	-9.535504	-23.809278	0.76470697	0.69682944	1967.7572	20.36068081855774
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	12000	6434.591	102551.45	48.8845	-10.974049	6434.457	102549.336	48.772194	-6.9375095	160.33144	2555.332	7.6797533	-12.070048	-25.745949	0.5025563	0.46167952	1974.8927	25.01383137702942
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	14000	8201.451	130710.766	57.589207	-3.8664482	8201.65	130713.94	56.996593	-5.6721144	227.93561	3632.7563	9.219287	-11.337596	-32.767624	0.2423269	0.23176141	1983.282	29.539567470550537
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	16000	10783.138	171856.38	59.83913	-4.3344026	10783.719	171865.62	60.060467	-6.8501678	131.3881	2094.0652	9.148123	-9.239196	-42.68501	0.20871383	0.20416677	1972.4384	34.07748484611511
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	18000	13100.848	208794.81	63.20565	-6.693124	13101.324	208802.44	63.322056	-13.496097	55.00613	876.7951	8.689018	-9.964115	-51.524548	0.14098911	0.16437662	1965.2168	38.626474142074585
193.36363	14.772656	200.0	153.0	200.0	0.0	200.0	200.0	193.36363	200.0	20000	15416.767	245704.72	68.059265	-6.1153584	15416.952	245707.69	68.43705	-10.779316	43.091187	686.9122	8.470776	-11.262737	-60.39556	0.19897136	0.19358142	1961.6913	43.28517413139343
